"","year","month","day","prcp","Precp","Runoff","IR.det"
"388",2007,6,"18",12,17.5,4.3,0.005
"389",2007,6,"18",12,17.5,4,0.006
"390",2007,6,"18",12,17.5,3.9,0.006
"391",2007,6,"18",12,17.5,1.7,0.002
"392",2007,6,"18",12,17.5,0.5,0.001
"393",2007,6,"18",12,17.5,2.1,0.002
"394",2007,6,"18",12,17.5,2.5,0.004
"395",2007,6,"18",12,17.5,3.3,0.004
"396",2007,6,"18",12,17.5,4.2,0.005
"397",2007,6,"18",12,17.5,4.5,0.005
"398",2007,6,"18",12,17.5,4,0.006
"399",2007,6,"18",12,17.5,4,0.005
"400",2007,6,"18",12,17.5,4.3,0.005
"401",2007,6,"18",12,17.5,3.9,0.006
"402",2007,6,"18",12,17.5,4.4,0.005
"403",2007,6,"18",12,17.5,4.3,0.005
"404",2007,6,"18",12,17.5,4,0.005
"405",2007,6,"18",12,17.5,1,0.001
"406",2007,6,"18",12,17.5,1.9,0.002
"407",2007,6,"18",12,17.5,2,0.003
"408",2007,6,"18",12,17.5,4,0.005
"409",2007,6,"18",12,17.5,2.2,0.003
"410",2007,6,"18",12,17.5,4.4,0.005
"411",2007,6,"18",12,17.5,1.5,0.002
"412",2007,6,"18",12,17.5,4.3,0.005
"413",2007,6,"18",12,17.5,1.2,0.001
"414",2007,6,"18",12,17.5,1.8,0.002
"415",2007,6,"18",12,17.5,1.8,0.002
"416",2007,6,"18",12,17.5,1.8,0.003
"417",2007,6,"18",12,17.5,3.8,0.004
"418",2007,6,"18",12,17.5,2.1,0.002
"419",2007,6,"22",16,26.1,4.3,0.007
"420",2007,6,"22",16,26.1,4.9,0.007
"421",2007,6,"22",16,26.1,2.2,0.003
"422",2007,6,"22",16,26.1,2.3,0.003
"423",2007,6,"22",16,26.1,4.4,0.007
"424",2007,6,"22",16,26.1,3.6,0.005
"425",2007,6,"22",16,26.1,3.3,0.004
"426",2007,6,"22",16,26.1,0.4,0.001
"427",2007,6,"22",16,26.1,3.4,0.004
"428",2007,6,"22",16,26.1,1.3,0.001
"429",2007,6,"22",16,26.1,4.3,0.007
"430",2007,6,"22",16,26.1,3.3,0.004
"431",2007,6,"22",16,26.1,1.1,0.001
"432",2007,6,"22",16,26.1,1.6,0.002
"433",2007,6,"22",16,26.1,3.8,0.004
"434",2007,6,"22",16,26.1,3.5,0.004
"435",2007,6,"22",16,26.1,3.4,0.004
"436",2007,6,"22",16,26.1,2.4,0.004
"437",2007,6,"22",16,26.1,2.9,0.004
"438",2007,6,"22",16,26.1,4.3,0.007
"439",2007,6,"22",16,26.1,1.4,0.002
"440",2007,6,"22",16,26.1,1.4,0.002
"441",2007,6,"22",16,26.1,0.1,0
"442",2007,6,"22",16,26.1,3.8,0.004
"443",2007,6,"22",16,26.1,1.1,0.001
"444",2007,6,"22",16,26.1,3.6,0.005
"445",2007,6,"22",16,26.1,4.4,0.007
"446",2007,6,"22",16,26.1,3.7,0.005
"447",2007,6,"22",16,26.1,3.8,0.004
"448",2007,6,"22",16,26.1,0.7,0.001
"449",2007,6,"22",16,26.1,1.8,0.002
"450",2007,6,"22",16,26.1,1.6,0.002
"451",2007,6,"22",16,26.1,3.7,0.005
"452",2007,6,"22",16,26.1,0.9,0.001
"453",2007,6,"22",16,26.1,2,0.003
"454",2007,6,"22",16,26.1,1.3,0.002
"455",2007,8,"22",22,45.5,7.4,0.005
"456",2007,8,"22",22,45.5,6.1,0.004
"457",2007,8,"22",22,45.5,7.3,0.005
"458",2007,8,"22",22,45.5,7.7,0.006
"459",2007,8,"22",22,45.5,8.4,0.005
"460",2007,8,"22",22,45.5,4.6,0.004
"461",2007,8,"22",22,45.5,4.4,0.004
"462",2007,8,"22",22,45.5,7.4,0.005
"463",2007,8,"22",22,45.5,7.6,0.005
"464",2007,8,"22",22,45.5,3.8,0.003
"465",2007,8,"22",22,45.5,4.6,0.004
"466",2007,8,"22",22,45.5,5.3,0.004
"467",2007,8,"22",22,45.5,7.8,0.005
"468",2007,8,"22",22,45.5,7.2,0.005
"469",2007,8,"22",22,45.5,4.5,0.004
"470",2007,8,"22",22,45.5,4.4,0.003
"471",2007,8,"22",22,45.5,5.1,0.005
"472",2007,8,"22",22,45.5,7.6,0.005
"473",2007,8,"22",22,45.5,7.4,0.005
"474",2007,8,"22",22,45.5,5.5,0.004
"475",2007,8,"22",22,45.5,4.9,0.005
"476",2007,8,"22",22,45.5,7.5,0.005
"477",2007,8,"22",22,45.5,7.4,0.005
"478",2007,8,"22",22,45.5,7.7,0.006
"479",2007,8,"22",22,45.5,4.1,0.003
"480",2007,8,"22",22,45.5,7.5,0.005
"481",2007,8,"22",22,45.5,7,0.005
"482",2007,8,"22",22,45.5,4.5,0.004
"483",2007,8,"22",22,45.5,5.9,0.004
"484",2007,8,"22",22,45.5,7.8,0.005
"485",2007,8,"22",22,45.5,4.5,0.004
"486",2007,8,"22",22,45.5,7.7,0.006
"487",2007,8,"22",22,45.5,5.1,0.004
"488",2007,8,"22",22,45.5,7.9,0.005
"489",2007,8,"22",22,45.5,7.6,0.005
"490",2007,8,"22",22,45.5,7.9,0.005
"491",2007,8,"23",14,27.5,13.8,0.005
"492",2007,8,"23",14,27.5,13.1,0.006
"493",2007,8,"23",14,27.5,11.2,0.005
"494",2007,8,"23",14,27.5,13.2,0.006
"495",2007,8,"23",14,27.5,6.7,0.005
"496",2007,8,"23",14,27.5,11.1,0.005
"497",2007,8,"23",14,27.5,13.1,0.006
"498",2007,8,"23",14,27.5,6.7,0.005
"499",2007,8,"23",14,27.5,13.8,0.006
"500",2007,8,"23",14,27.5,7.1,0.005
"501",2007,8,"23",14,27.5,11.4,0.005
"502",2007,8,"23",14,27.5,11.3,0.005
"503",2007,8,"23",14,27.5,11.6,0.005
"504",2007,8,"23",14,27.5,13.5,0.006
"505",2007,8,"23",14,27.5,6.3,0.004
"506",2007,8,"23",14,27.5,12.7,0.006
"507",2007,8,"23",14,27.5,6.5,0.005
"508",2007,8,"23",14,27.5,13.2,0.006
"509",2007,8,"23",14,27.5,12.9,0.006
"510",2007,8,"23",14,27.5,6.4,0.004
"511",2007,8,"23",14,27.5,11,0.005
"512",2007,8,"23",14,27.5,7.3,0.005
"513",2007,8,"23",14,27.5,13.6,0.006
"514",2007,8,"23",14,27.5,13.8,0.006
"515",2007,8,"23",14,27.5,13.4,0.006
"516",2007,8,"23",14,27.5,12.7,0.006
"517",2007,8,"23",14,27.5,13.6,0.006
"518",2007,8,"23",14,27.5,6.3,0.004
"519",2007,8,"23",14,27.5,13.7,0.006
"520",2007,8,"23",14,27.5,13.2,0.006
"521",2007,8,"23",14,27.5,13.4,0.006
"522",2007,8,"23",14,27.5,13.7,0.006
"523",2007,8,"23",14,27.5,13.6,0.006
"524",2007,8,"23",14,27.5,13.4,0.006
"525",2007,8,"23",14,27.5,14,0.005
"526",2007,8,"23",14,27.5,13.5,0.006
"527",2007,8,"24",11,17.4,0,0
"528",2007,8,"24",11,17.4,4.1,0.001
"529",2007,8,"24",11,17.4,6.1,0.001
"530",2007,8,"24",11,17.4,6.3,0.001
"531",2007,8,"24",11,17.4,6.1,0.001
"532",2007,8,"24",11,17.4,0,0
"533",2007,8,"24",11,17.4,0,0
"534",2007,8,"24",11,17.4,7,0.001
"535",2007,8,"24",11,17.4,0,0
"536",2007,8,"24",11,17.4,6.4,0.001
"537",2007,8,"24",11,17.4,6.3,0.001
"538",2007,8,"24",11,17.4,4.5,0.001
"539",2007,8,"24",11,17.4,0,0
"540",2007,8,"24",11,17.4,4.4,0.001
"541",2007,8,"24",11,17.4,7.2,0.001
"542",2007,8,"24",11,17.4,5.7,0.001
"543",2007,8,"24",11,17.4,6.2,0.001
"544",2007,8,"24",11,17.4,6.2,0.001
"545",2007,8,"24",11,17.4,6.2,0.001
"546",2007,8,"24",11,17.4,6.1,0.001
"547",2007,8,"24",11,17.4,5.7,0.001
"548",2007,8,"24",11,17.4,4.4,0.001
"549",2007,8,"24",11,17.4,6.3,0.001
"550",2007,8,"24",11,17.4,6.3,0.001
"551",2007,8,"24",11,17.4,0,0
"552",2007,8,"24",11,17.4,6.1,0.001
"553",2007,8,"24",11,17.4,0,0
"554",2007,8,"24",11,17.4,6.1,0.001
"555",2007,8,"24",11,17.4,5.6,0.001
"556",2007,8,"24",11,17.4,4.3,0.001
"557",2007,8,"24",11,17.4,0,0
"558",2007,8,"24",11,17.4,6.1,0.001
"559",2007,8,"24",11,17.4,6.2,0.001
"560",2007,8,"24",11,17.4,6.3,0.001
"561",2007,8,"24",11,17.4,4.3,0.001
"562",2007,8,"24",11,17.4,6.2,0.001
"563",2007,8,"7",13,25.3,0,0
"564",2007,8,"7",13,25.3,0.1,0
"565",2007,8,"7",13,25.3,0,0
"566",2007,8,"7",13,25.3,0.1,0
"567",2007,8,"7",13,25.3,0,0
"568",2007,8,"7",13,25.3,0.1,0
"569",2007,8,"7",13,25.3,0.2,0
"570",2007,8,"7",13,25.3,0.1,0
"571",2007,8,"7",13,25.3,0,0
"572",2007,8,"7",13,25.3,0.3,0
"573",2007,8,"7",13,25.3,0.1,0
"574",2007,8,"7",13,25.3,0.3,0
"575",2007,8,"7",13,25.3,0.1,0
"576",2007,8,"7",13,25.3,0.5,0.001
"577",2007,8,"7",13,25.3,0,0
"578",2007,8,"7",13,25.3,0,0
"579",2007,8,"7",13,25.3,0,0
"580",2007,8,"7",13,25.3,0.1,0
"581",2007,8,"7",13,25.3,0,0
"582",2007,8,"7",13,25.3,0,0
"583",2007,8,"7",13,25.3,0,0
"584",2007,8,"7",13,25.3,0,0
"585",2007,8,"7",13,25.3,0.1,0
"586",2007,8,"7",13,25.3,0.1,0
"587",2007,8,"7",13,25.3,0.1,0
"588",2007,8,"7",13,25.3,0,0
"589",2007,8,"7",13,25.3,0,0
"590",2007,8,"7",13,25.3,0.1,0
"591",2007,8,"7",13,25.3,0,0
"592",2007,8,"7",13,25.3,0.1,0
"593",2007,8,"7",13,25.3,0.1,0
"594",2007,8,"7",13,25.3,0,0
"595",2007,8,"7",13,25.3,0.1,0
"596",2007,8,"7",13,25.3,0,0
"597",2007,8,"7",13,25.3,0,0
"598",2007,8,"7",13,25.3,0.1,0
"599",2007,9,"18",9,16.7,0,0
"600",2007,9,"18",9,16.7,0,0
"601",2007,9,"18",9,16.7,0,0
"602",2007,9,"18",9,16.7,0,0
"603",2007,9,"30",7,11.9,0.1,0
